Time Serie ID,Damage Scenarios,Date,Start_Time,End_Time
FVA_18,DS4,28.11.2019,9:09:00,9:11:19
FVA_36,DS6,28.11.2019,17:57:15,17:59:59
FVA_25,DS6,28.11.2019,15:51:03,15:53:54
FVA_15,DS3,28.11.2019,8:40:15,8:43:44
FVA_32,DS6,28.11.2019,17:28:00,17:30:59
FVA_20,DS4,28.11.2019,9:57:55,10:00:59
FVA_11,DS2,27.11.2019,10:58:00,11:01:59
FVA_35,DS6,28.11.2019,17:54:45,17:56:54
FVA_24,DS4,28.11.2019,12:03:20,12:04:19
FVA_7,DS2,26.11.2019,18:01:00,18:03:59
FVA_14,DS3,28.11.2019,8:23:00,8:24:59
FVA_21,DS4,28.11.2019,11:40:35,11:44:54
FVA_1,DS0,26.11.2019,10:45:28,10:47:34
FVA_9,DS2,27.11.2019,10:17:00,10:20:39
FVA_12,DS2,27.11.2019,12:06:00,12:09:49
FVA_27,DS6,28.11.2019,16:28:00,16:30:49
FVA_22,DS4,28.11.2019,11:46:00,11:47:59
FVA_10,DS2,27.11.2019,10:41:00,10:44:49
FVA_13,DS3,28.11.2019,8:19:40,8:22:09
FVA_26,DS6,28.11.2019,15:55:00,15:56:49
FVA_17,DS4,28.11.2019,9:05:32,9:08:09
FVA_31,DS6,28.11.2019,17:25:00,17:27:52
FVA_16,DS3,28.11.2019,8:43:50,8:47:59
FVA_23,DS4,28.11.2019,12:00:05,12:02:54
FVB_12,DS6,28.11.2019,16:54:00,16:56
FVB_6,DS6,28.11.2019,13:56:15,13:59:34
FVB_3,DS4,28.11.2019,12:08:00,12:10:54
FVB_7,DS6,28.11.2019,14:07:27,14:09:54
FVB_2,DS4,28.11.2019,11:38:00,11:40:24
FVB_10,DS6,28.11.2019,15:33:00,15:34:59
FVB_1,DS4,28.11.2019,11:35:14,11:37:53
FVB_4,DS4,28.11.2019,12:11:00,12:13:59
FVB_11,DS6,28.11.2019,16:51:00,16:53:59
FVB_5,DS6,28.11.2019,13:52:25,13:54:54
FVB_9,DS6,28.11.2019,15:29:50,15:32:49
FVB_8,DS6,28.11.2019,14:10:00,14:12:59
